x,y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0001.tif_Azm=_240.00
13.516,0
13.543,0
13.569,0
13.596,0
13.623,0
13.649,0
13.676,0
13.702,0
13.729,0
13.755,0
13.782,0
13.808,0
13.835,0
13.861,0
13.888,0
13.915,0
13.941,0
13.968,0
13.994,0
14.021,0
14.047,0
14.074,0
14.1,0
14.127,0
14.154,0
14.18,0
14.207,0
14.233,0
14.26,0
14.286,0
14.313,0
14.339,0
14.366,0
14.393,0
14.419,0
14.446,0
14.472,0
14.499,0
14.525,0
14.552,0
14.579,0
14.605,0
14.632,0
14.658,0
14.685,0
14.711,0
14.738,0
14.765,0
14.791,0
14.818,0
14.844,0
14.871,0
14.897,0
14.924,0
14.951,0
14.977,0
15.004,0
15.03,0
15.057,0
15.084,0
15.11,0
15.137,0
15.163,0
15.19,0
15.216,0
15.243,0
15.27,0
15.296,0
15.323,0
15.349,0
15.376,0
15.403,0
15.429,0
15.456,0
15.482,0
15.509,0
15.536,0
15.562,0
15.589,0
15.615,0
15.642,0
15.669,0
15.695,0
15.722,0
15.748,0
15.775,0
15.802,0
15.828,0
15.855,0
15.881,0
15.908,0
15.935,0
15.961,0
15.988,0
16.015,0
16.041,0
16.068,0
16.094,0
16.121,0
16.148,0
16.174,0
16.201,0
16.227,0
16.254,0
16.281,0
16.307,0
16.334,0
16.361,0
16.387,0
16.414,0
16.44,0
16.467,0
16.494,0
16.52,0
16.547,0
16.574,0
16.6,0
16.627,0
16.654,0
16.68,0
16.707,0
16.733,0
16.76,0
16.787,0
16.813,0
16.84,0
16.867,0
16.893,0
16.92,0
16.947,0
16.973,0
17,0
17.027,0
17.053,0
17.08,0
17.106,0
17.133,0
17.16,0
17.186,0
17.213,0
17.24,0
17.266,0
17.293,0
17.32,0
17.346,0
17.373,0
17.4,0
17.426,0
17.453,0
17.48,0
17.506,0
17.533,0
17.56,0
17.586,0
17.613,0
17.64,0
17.666,0
17.693,0
17.72,0
17.746,0
17.773,0
17.8,0
17.826,0
17.853,0
17.88,0
17.906,0
17.933,0
17.96,0
17.986,0
18.013,0
18.04,0
18.067,0
18.093,0
18.12,0
18.147,0
18.173,0
18.2,0
18.227,0
18.253,0
18.28,0
18.307,0
18.333,0
18.36,0
18.387,0
18.414,0
18.44,0
18.467,0
18.494,0
18.52,0
18.547,0
18.574,0
18.6,0
18.627,0
18.654,0
18.681,0
18.707,0
18.734,0
18.761,0
18.787,0
