x,y_obs_C1_MAPbBr50_Xraydeg_20s_01230117_0001.tif_Azm=_240.00
15.429,29.024
15.456,29.027
15.482,29.202
15.509,29.227
15.536,29.002
15.562,29.13
15.589,29.24
15.615,29.022
15.642,29.164
15.669,29.229
15.695,29.388
15.722,29.037
15.748,28.977
15.775,29.018
15.802,29.121
15.828,28.94
15.855,29.193
15.881,29.232
15.908,29.089
15.935,29.331
15.961,29.406
15.988,29.12
16.015,29.517
16.041,29.667
16.068,30.358
16.094,31.575
16.121,31.673
16.148,30.425
16.174,29.564
16.201,29.188
16.227,29.279
16.254,29.405
16.281,29.297
16.307,29.162
16.334,29.096
16.361,29.137
16.387,29.083
16.414,29.279
16.44,29.166
16.467,29.204
16.494,29.202
16.52,29.242
16.547,29.197
16.574,29.281
16.6,29.11
16.627,29.322
16.654,29.158
16.68,29.105
16.707,29.233
16.733,29.037
16.76,29.292
16.787,29.065
16.813,29.049
16.84,29.061
16.867,29.072
16.893,29.066
16.92,28.993
16.947,28.876
16.973,28.769
17,28.938
17.027,28.969
17.053,28.99
17.08,29.086
17.106,28.845
17.133,28.944
17.16,28.784
17.186,28.994
17.213,29.01
17.24,28.675
17.266,28.82
17.293,28.876
17.32,28.955
17.346,29.218
17.373,29.03
17.4,28.878
17.426,28.936
17.453,29.086
17.48,28.787
17.506,28.822
17.533,28.786
17.56,29.014
17.586,28.836
17.613,28.781
17.64,28.828
17.666,28.886
17.693,28.903
17.72,28.778
17.746,28.891
17.773,29.082
17.8,29.067
17.826,28.764
17.853,28.686
17.88,28.954
17.906,29.007
17.933,28.927
17.96,29.025
17.986,29.051
18.013,29.134
18.04,29.172
18.067,29.104
18.093,29.177
18.12,29.181
18.147,29.006
18.173,29.04
18.2,29.247
18.227,29.031
18.253,29.1
18.28,29.023
18.307,29.169
18.333,29.134
18.36,29.541
18.387,29.172
18.414,29.62
18.44,29.711
18.467,30.162
18.494,30.973
18.52,32.949
18.547,39.062
18.574,58.031
18.6,87.769
18.627,95.608
18.654,72.269
18.681,48.433
18.707,36.251
18.734,32.008
18.761,30.533
18.787,29.867
18.814,29.468
