x,y_obs_C1_MAPbBr50_Xraydeg_20s_01230117_0030.tif_Azm=_240.00
15.429,28.53
15.456,28.452
15.482,28.579
15.509,28.428
15.536,28.665
15.562,28.757
15.589,28.68
15.615,28.486
15.642,28.641
15.669,28.601
15.695,28.66
15.722,28.411
15.748,28.524
15.775,28.603
15.802,28.771
15.828,28.72
15.855,28.667
15.881,28.559
15.908,28.565
15.935,28.621
15.961,28.428
15.988,28.622
16.015,28.769
16.041,29.097
16.068,29.952
16.094,30.949
16.121,30.803
16.148,29.819
16.174,29.139
16.201,28.726
16.227,28.839
16.254,28.83
16.281,28.793
16.307,28.622
16.334,28.725
16.361,28.892
16.387,28.867
16.414,28.797
16.44,28.421
16.467,28.442
16.494,28.518
16.52,28.507
16.547,28.49
16.574,28.492
16.6,28.534
16.627,28.697
16.654,28.773
16.68,28.384
16.707,28.513
16.733,28.439
16.76,28.617
16.787,28.337
16.813,28.302
16.84,28.559
16.867,28.567
16.893,28.576
16.92,28.299
16.947,28.289
16.973,28.38
17,28.492
17.027,28.239
17.053,28.418
17.08,28.433
17.106,28.469
17.133,28.427
17.16,28.343
17.186,28.472
17.213,28.259
17.24,28.349
17.266,28.331
17.293,28.4
17.32,28.586
17.346,28.633
17.373,28.491
17.4,28.37
17.426,28.214
17.453,28.561
17.48,28.634
17.506,28.384
17.533,28.486
17.56,28.458
17.586,28.366
17.613,28.578
17.64,28.319
17.666,28.309
17.693,28.529
17.72,28.493
17.746,28.498
17.773,28.552
17.8,28.46
17.826,28.505
17.853,28.311
17.88,28.451
17.906,28.431
17.933,28.301
17.96,28.419
17.986,28.601
18.013,28.525
18.04,28.448
18.067,28.561
18.093,28.628
18.12,28.381
18.147,28.304
18.173,28.601
18.2,28.634
18.227,28.608
18.253,28.598
18.28,28.613
18.307,28.599
18.333,28.683
18.36,28.754
18.387,29.002
18.414,29.082
18.44,29.417
18.467,29.431
18.494,30.441
18.52,32.597
18.547,37.659
18.574,56.314
18.6,85.663
18.627,94.301
18.654,72.423
18.681,48.089
18.707,35.914
18.734,31.439
18.761,29.814
18.787,29.08
18.814,29.098
18.841,28.648
18.868,28.595
18.894,28.462
18.921,28.528
18.948,28.428
18.974,28.304
19.001,28.412
19.028,28.259
19.055,28.146
19.081,28.058
19.108,28.078
19.135,27.979
19.162,28.088
19.188,28.043
19.215,28.001
19.242,27.92
19.268,27.84
19.295,27.705
19.322,27.918
19.349,28.037
19.375,27.768
19.402,27.811
19.429,27.946
19.456,27.671
19.482,27.77
19.509,27.801
19.536,27.897
19.563,27.882
19.589,27.715
19.616,27.548
19.643,27.753
19.67,27.867
19.696,27.662
19.723,27.518
19.75,27.578
19.777,27.616
19.803,27.802
19.83,27.744
19.857,27.789
19.884,27.803
19.91,27.766
19.937,27.693
19.964,27.619
19.991,27.607
20.017,27.479
20.044,27.584
20.071,27.428
20.098,27.261
20.124,27.594
20.151,27.546
20.178,27.649
20.205,27.252
20.231,27.419
20.258,27.503
20.285,27.372
20.312,27.217
20.339,26.981
20.365,27.244
20.392,27.363
20.419,27.162
20.446,27.03
20.472,27.083
20.499,27.049
20.526,27.213
20.553,27.097
20.58,27.352
20.606,27.316
20.633,27.189
20.66,27.536
20.687,27.747
20.714,27.908
20.74,29.038
20.767,32.388
20.794,40.147
20.821,50.729
20.848,54.452
20.874,46.776
20.901,36.742
20.928,31.028
20.955,28.455
20.982,27.354
21.008,27.144
21.035,26.798
21.062,26.964
21.089,26.933
21.116,26.654
21.142,26.785
21.169,26.603
21.196,26.558
21.223,26.46
21.25,26.505
21.276,26.352
21.303,26.293
21.33,26.445
21.357,26.243
21.384,26.31
21.411,26.025
21.437,26.255
21.464,26.106
21.491,26.189
21.518,26.117
21.545,26.095
21.571,26.036
21.598,26.146
21.625,26.112
21.652,25.806
21.679,25.828
21.706,25.931
21.732,25.709
21.759,25.695
21.786,25.818
21.813,25.937
21.84,33.837
21.867,25.809
21.894,25.831
21.92,25.819
21.947,25.748
21.974,25.652
22.001,25.781
22.028,25.646
22.055,25.821
22.081,25.627
22.108,25.482
