x,y_obs_E1_MAPbBr75_xraydeg_20s_01222041_0001.tif_Azm=_240.00
15.429,27.353
15.456,27.191
15.482,27.4
15.509,27.569
15.536,27.415
15.562,27.275
15.589,27.53
15.615,27.361
15.642,27.218
15.669,27.51
15.695,27.628
15.722,27.376
15.748,27.502
15.775,27.587
15.802,27.572
15.828,27.576
15.855,27.32
15.881,27.279
15.908,27.433
15.935,27.479
15.961,27.314
15.988,27.37
16.015,27.449
16.041,27.397
16.068,27.696
16.094,27.66
16.121,27.577
16.148,27.395
16.174,27.52
16.201,27.276
16.227,27.321
16.254,27.364
16.281,27.414
16.307,27.481
16.334,27.342
16.361,27.325
16.387,27.45
16.414,27.655
16.44,27.546
16.467,27.387
16.494,27.304
16.52,27.351
16.547,27.241
16.574,27.555
16.6,27.429
16.627,27.385
16.654,27.391
16.68,27.59
16.707,27.508
16.733,27.57
16.76,27.274
16.787,27.236
16.813,27.178
16.84,27.388
16.867,27.478
16.893,27.598
16.92,27.375
16.947,27.525
16.973,27.51
17,27.478
17.027,27.343
17.053,27.426
17.08,27.237
17.106,27.505
17.133,27.459
17.16,27.374
17.186,27.325
17.213,27.291
17.24,27.25
17.266,27.235
17.293,27.229
17.32,27.067
17.346,27.393
17.373,27.485
17.4,27.312
17.426,27.248
17.453,27.297
17.48,27.244
17.506,27.253
17.533,27.17
17.56,27.442
17.586,27.43
17.613,27.177
17.64,27.339
17.666,27.365
17.693,27.243
17.72,27.25
17.746,27.215
17.773,27.246
17.8,27.268
17.826,27.22
17.853,27.066
17.88,27.411
17.906,27.243
17.933,27.185
17.96,27.125
17.986,27.186
18.013,27.073
18.04,27.089
18.067,27.259
18.093,27.128
18.12,26.987
18.147,27.392
18.173,27.39
18.2,27.342
18.227,27.286
18.253,27.377
18.28,27.423
18.307,27.679
18.333,27.376
18.36,27.422
18.387,27.757
18.414,27.924
18.44,27.857
18.467,27.979
18.494,28.037
18.52,28.45
18.547,28.728
18.574,28.868
18.6,28.933
18.627,29.164
18.654,29.699
18.681,30.009
18.707,30.35
18.734,30.4
18.761,30.955
18.787,31.467
18.814,32.444
18.841,33.15
18.868,33.998
18.894,34.696
18.921,35.246
18.948,35.822
18.974,35.265
19.001,34.905
19.028,34.187
19.055,33.051
19.081,30.681
19.108,28.895
19.135,27.86
19.162,27.565
19.188,27.492
19.215,27.317
19.242,27.065
19.268,27.169
19.295,27.217
19.322,27.126
19.349,26.911
19.375,26.74
19.402,26.975
19.429,26.908
19.456,26.818
19.482,26.882
19.509,26.882
19.536,26.775
19.563,26.835
19.589,26.79
19.616,26.761
19.643,26.823
19.67,26.678
19.696,26.91
19.723,26.849
19.75,26.903
19.777,26.757
19.803,26.795
19.83,27.469
19.857,29.193
19.884,27.128
19.91,26.896
19.937,26.817
19.964,26.669
19.991,26.739
20.017,26.568
20.044,26.517
20.071,26.587
20.098,26.692
20.124,26.395
20.151,26.428
20.178,26.352
20.205,26.291
20.231,26.309
20.258,26.442
20.285,26.509
20.312,26.298
20.339,26.298
20.365,26.224
20.392,26.441
20.419,26.263
20.446,26.232
20.472,26.227
20.499,26.286
20.526,26.368
20.553,26.481
20.58,26.578
20.606,26.728
20.633,26.578
20.66,26.703
20.687,26.926
20.714,26.888
20.74,27.157
20.767,27.491
20.794,27.641
20.821,27.864
20.848,28.106
20.874,28.251
20.901,28.517
20.928,28.705
20.955,29.064
20.982,29.533
21.008,30.006
21.035,30.368
21.062,31.205
21.089,31.772
21.116,32.359
21.142,33.068
21.169,33.787
21.196,34.22
21.223,34.269
21.25,34.547
21.276,34.328
21.303,33.625
21.33,32.325
21.357,30.387
21.384,28.497
21.411,26.919
21.437,26.296
21.464,25.888
21.491,25.619
21.518,25.698
21.545,25.55
21.571,25.466
21.598,25.579
21.625,25.463
21.652,25.47
21.679,25.42
21.706,25.364
21.732,25.125
21.759,25.307
21.786,25.173
21.813,25.102
21.84,32.07
21.867,25.071
21.894,25.039
21.92,25.064
21.947,25.154
21.974,24.915
22.001,24.943
22.028,24.807
22.055,25.04
22.081,25.038
22.108,24.79
22.135,24.839
22.162,24.956
22.189,24.797
22.216,24.834
22.243,24.766
22.269,24.828
22.296,24.737
22.323,24.728
22.35,24.566
22.377,24.553
22.404,24.637
22.431,24.535
22.458,24.698
22.484,24.331
22.511,24.449
22.538,24.447
22.565,24.527
22.592,24.384
22.619,24.35
22.646,24.362
22.672,24.487
22.699,24.399
22.726,24.401
22.753,24.397
22.78,24.428
22.807,24.481
22.834,24.331
22.861,24.341
22.888,24.32
22.914,24.469
22.941,24.38
22.968,24.365
22.995,24.398
23.022,24.542
23.049,24.622
23.076,24.41
23.103,24.3
23.13,24.359
23.157,24.327
23.183,24.201
23.21,24.45
23.237,24.462
23.264,24.448
23.291,24.323
23.318,24.259
23.345,24.302
23.372,24.299
23.399,24.201
23.426,24.16
23.453,24.094
23.479,24.052
23.506,24.113
23.533,24.145
23.56,24.041
23.587,24.06
23.614,24.065
23.641,24.151
23.668,23.931
23.695,23.972
23.722,23.823
23.749,23.921
23.776,24.066
23.803,24.021
23.83,23.991
23.856,24.515
23.883,24.061
23.91,23.92
23.937,24.091
23.964,23.953
23.991,23.928
24.018,23.869
24.045,24.089
24.072,24.064
24.099,23.928
24.126,23.995
24.153,24.042
24.18,24.08
24.207,24.084
24.234,24.045
24.261,24.082
24.288,24.039
24.315,24.16
24.342,24.251
24.368,23.941
24.395,24.018
24.422,23.98
24.449,24.005
24.476,24.294
24.503,24.141
24.53,24.067
24.557,24.169
24.584,24.109
24.611,24.205
24.638,24.055
24.665,24.045
24.692,24.114
24.719,24.246
24.746,24.251
24.773,24.241
24.8,24.13
24.827,24.051
24.854,24.099
24.881,24.17
24.908,23.982
24.935,24.126
24.962,24.104
24.989,24.222
25.016,24.129
25.043,24.265
25.07,24.214
25.097,24.275
25.124,24.284
25.151,24.278
25.178,24.218
25.205,24.302
25.232,24.183
25.259,24.449
25.286,24.208
25.313,24.226
25.34,24.324
25.367,24.358
25.394,24.401
25.421,24.323
25.448,24.352
25.475,24.525
25.502,24.293
25.529,24.263
25.556,24.461
25.583,24.56
25.61,24.483
25.637,24.458
25.664,24.468
25.691,24.63
25.718,24.514
25.745,24.418
25.772,24.66
25.799,24.683
25.827,25.483
25.854,25.708
25.881,24.652
25.908,24.711
25.935,24.408
25.962,24.527
25.989,24.768
26.016,24.826
26.043,24.816
26.07,25.034
26.097,24.747
26.124,24.715
26.151,24.821
26.178,24.909
26.205,24.925
26.232,24.937
26.259,24.714
26.286,24.771
26.313,24.936
26.341,25.014
26.368,25.026
26.395,24.937
26.422,24.894
26.449,24.926
26.476,25.213
26.503,24.999
26.53,25.23
26.557,25.244
26.584,25.125
26.611,25.103
26.638,25.203
26.665,25.18
26.693,25.243
26.72,25.069
26.747,25.252
26.774,25.269
26.801,25.282
26.828,25.59
26.855,25.355
26.882,25.314
26.909,25.326
26.936,25.505
26.963,25.411
26.991,25.561
27.018,25.356
27.045,25.29
27.072,25.28
27.099,25.442
27.126,25.37
27.153,25.378
27.18,25.658
27.207,25.399
27.235,25.413
27.262,25.581
27.289,25.656
27.316,25.411
27.343,25.418
27.37,25.576
27.397,25.424
27.424,25.565
27.452,25.475
27.479,25.511
27.506,25.732
27.533,25.632
27.56,25.659
27.587,25.493
27.614,25.582
27.641,25.584
27.669,25.768
27.696,25.772
27.723,25.715
27.75,25.614
27.777,25.854
27.804,25.902
27.832,25.673
27.859,25.742
27.886,25.697
27.913,25.726
27.94,25.755
27.967,25.986
27.994,25.894
28.022,25.738
28.049,25.933
28.076,26.101
28.103,25.92
28.13,25.908
28.157,25.902
28.185,26.078
28.212,25.942
28.239,25.769
28.266,26.034
28.293,26.075
28.321,26.221
28.348,26.162
28.375,25.938
28.402,25.973
28.429,26.023
28.456,26.025
28.484,25.971
28.511,26.051
28.538,26.237
28.565,26.176
28.592,26.201
28.62,26.357
28.647,26.478
28.674,26.288
28.701,26.373
28.728,26.316
28.756,26.213
28.783,26.194
28.81,26.198
28.837,26.294
28.864,26.225
28.892,26.294
28.919,26.274
28.946,26.372
28.973,26.17
29.001,26.193
29.028,26.251
29.055,26.303
29.082,26.528
29.109,26.305
29.137,26.314
29.164,26.175
29.191,26.432
29.218,26.499
29.246,26.459
29.273,26.584
29.3,26.539
29.327,26.485
29.355,26.409
29.382,26.508
29.409,26.55
29.436,26.708
29.464,26.499
29.491,26.542
29.518,26.748
29.545,26.776
29.573,26.622
29.6,26.659
29.627,26.698
29.654,26.716
29.682,26.746
29.709,26.747
29.736,26.831
29.763,26.65
29.791,26.854
29.818,26.935
29.845,26.895
29.873,26.972
29.9,27.016
29.927,27.061
29.954,27.065
29.982,27.195
30.009,27.289
30.036,27.285
30.064,27.39
30.091,27.388
30.118,27.383
30.145,27.618
30.173,27.703
30.2,27.615
30.227,27.712
30.255,27.784
30.282,27.79
30.309,27.969
30.336,27.702
30.364,27.477
30.391,27.259
30.418,27.397
30.446,27.181
30.473,27.317
30.5,27.129
30.528,27.087
30.555,27.199
30.582,27.22
30.61,27.204
30.637,27.166
30.664,27.214
30.692,27.244
30.719,27.154
30.746,27.261
30.774,27.275
30.801,27.239
30.828,27.163
30.856,27.253
30.883,27.347
30.91,27.378
30.938,27.215
30.965,27.442
30.992,27.518
31.02,27.437
31.047,27.48
31.074,27.544
31.102,27.481
31.129,27.66
31.156,27.534
31.184,27.522
31.211,27.526
31.239,27.642
31.266,27.703
31.293,27.661
31.321,27.621
31.348,27.784
31.375,27.678
31.403,27.882
31.43,27.923
31.458,27.862
31.485,27.944
31.512,27.792
31.54,28.058
31.567,27.928
31.594,27.861
31.622,27.89
31.649,27.887
31.677,28.045
31.704,28.004
31.731,28.015
