x,y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0030.tif_Azm=_240.00
10.098,0
10.125,0
10.151,0
10.178,0
10.204,0
10.231,0
10.257,0
10.284,0
10.31,0
10.336,0
10.363,0
10.389,0
10.416,0
10.442,0
10.469,0
10.495,0
10.522,0
10.548,0
10.575,0
10.601,0
10.628,0
10.654,0
10.681,0
10.707,0
10.733,0
10.76,0
10.786,0
10.813,0
10.839,0
10.866,0
10.892,0
10.919,0
10.945,0
10.972,0
10.998,0
11.025,0
11.051,0
11.078,0
11.104,0
11.131,0
11.157,0
11.184,0
11.21,0
11.237,0
11.263,0
11.289,0
11.316,0
11.342,0
11.369,0
11.395,0
11.422,0
11.448,0
11.475,0
11.501,0
11.528,0
11.554,0
11.581,0
11.607,0
11.634,0
11.66,0
11.687,0
11.713,0
11.74,0
11.766,0
11.793,0
11.819,0
11.846,0
11.872,0
11.899,0
11.925,0
11.952,0
11.978,0
12.005,0
12.031,0
12.058,0
12.084,0
12.111,0
12.137,0
12.164,0
12.19,0
12.217,0
12.243,0
12.27,0
12.296,0
12.323,0
12.349,0
12.376,0
12.402,0
12.429,0
12.455,0
12.482,0
12.508,0
12.535,0
12.561,0
12.588,0
12.614,0
12.641,0
12.667,0
12.694,0
12.721,0
12.747,0
12.774,0
12.8,0
12.827,0
12.853,0
12.88,0
12.906,0
12.933,0
12.959,0
12.986,0
13.012,0
13.039,0
13.065,0
13.092,0
13.118,0
13.145,0
13.171,0
13.198,0
13.224,0
13.251,0
13.278,0
13.304,0
13.331,0
13.357,0
13.384,0
13.41,0
13.437,0
13.463,0
13.49,0
13.516,0
13.543,0
13.569,0
13.596,0
13.623,0
13.649,0
13.676,0
13.702,0
13.729,0
13.755,0
13.782,0
13.808,0
13.835,0
13.861,0
13.888,0
13.915,0
13.941,0
13.968,0
13.994,0
14.021,0
14.047,0
14.074,0
14.1,0
14.127,0
14.154,0
14.18,0
14.207,0
14.233,0
14.26,0
14.286,0
14.313,0
14.339,0
14.366,0
14.393,0
14.419,0
14.446,0
14.472,0
14.499,0
14.525,0
14.552,0
14.579,0
14.605,0
14.632,0
14.658,0
14.685,0
14.711,0
14.738,0
14.765,0
14.791,0
14.818,0
14.844,0
14.871,0
14.897,0
14.924,0
14.951,0
14.977,0
15.004,0
15.03,0
15.057,0
15.084,0
15.11,0
15.137,0
15.163,0
15.19,0
15.216,0
15.243,0
15.27,0
15.296,0
15.323,0
15.349,0
15.376,0
15.403,0
15.429,0
15.456,0
15.482,0
15.509,0
15.536,0
15.562,0
15.589,0
15.615,0
15.642,0
15.669,0
15.695,0
15.722,0
15.748,0
15.775,0
15.802,0
15.828,0
15.855,0
15.881,0
15.908,0
15.935,0
15.961,0
15.988,0
16.015,0
16.041,0
16.068,0
16.094,0
16.121,0
16.148,0
16.174,0
16.201,0
16.227,0
16.254,0
16.281,0
16.307,0
16.334,0
16.361,0
16.387,0
16.414,0
16.44,0
16.467,0
16.494,0
16.52,0
16.547,0
16.574,0
16.6,0
16.627,0
16.654,0
16.68,0
16.707,0
16.733,0
16.76,0
16.787,0
16.813,0
16.84,0
16.867,0
16.893,0
16.92,0
16.947,0
16.973,0
17,0
17.027,0
17.053,0
17.08,0
17.106,0
17.133,0
17.16,0
17.186,0
17.213,0
17.24,0
17.266,0
17.293,0
17.32,0
17.346,0
17.373,0
17.4,0
17.426,0
17.453,0
17.48,0
17.506,0
17.533,0
17.56,0
17.586,0
17.613,0
17.64,0
17.666,0
17.693,0
17.72,0
17.746,0
17.773,0
17.8,0
17.826,0
17.853,0
17.88,0
17.906,0
17.933,0
17.96,0
17.986,0
18.013,0
18.04,0
18.067,0
18.093,0
18.12,0
18.147,0
18.173,0
18.2,0
18.227,0
18.253,0
18.28,0
18.307,0
18.333,0
18.36,0
18.387,0
18.414,0
18.44,0
18.467,0
18.494,0
18.52,0
18.547,0
18.574,0
18.6,0
18.627,0
18.654,0
18.681,0
18.707,0
18.734,0
18.761,0
18.787,0
18.814,0
18.841,0
18.868,0
18.894,0
18.921,0
18.948,0
18.974,0
19.001,0
19.028,0
19.055,0
19.081,0
19.108,0
19.135,0
19.162,0
