x,y_obs_B1_MAPbI2Br_xraydeg_20s_01230708_0030.tif_Azm=_240.00
15.429,28.546
15.456,28.503
15.482,28.502
15.509,28.276
15.536,28.347
15.562,28.47
15.589,28.409
15.615,28.46
15.642,28.466
15.669,28.501
15.695,28.959
15.722,28.558
15.748,28.708
15.775,28.697
15.802,28.771
15.828,28.941
15.855,29.131
15.881,30.426
15.908,32.384
15.935,33.114
15.961,31.232
15.988,29.587
16.015,29.154
16.041,28.742
16.068,28.643
16.094,28.67
16.121,28.862
16.148,28.927
16.174,28.821
16.201,28.713
16.227,28.844
16.254,28.853
16.281,28.849
16.307,28.785
16.334,28.656
16.361,28.563
16.387,28.772
16.414,28.736
16.44,28.666
16.467,28.411
16.494,28.683
16.52,28.909
16.547,28.638
16.574,28.632
16.6,28.585
16.627,28.737
16.654,28.565
16.68,28.681
16.707,28.781
16.733,28.49
16.76,28.66
16.787,28.652
16.813,28.604
16.84,28.685
16.867,28.666
16.893,28.316
16.92,28.357
16.947,28.418
16.973,28.622
17,28.583
17.027,28.472
17.053,28.364
17.08,28.433
17.106,28.404
17.133,28.367
17.16,28.406
17.186,28.528
17.213,28.457
17.24,28.369
17.266,28.339
17.293,28.359
17.32,28.567
17.346,28.371
17.373,28.267
17.4,28.448
17.426,28.558
17.453,28.206
17.48,28.301
17.506,28.25
17.533,28.254
17.56,28.234
17.586,28.472
17.613,28.479
17.64,28.375
17.666,28.238
17.693,28.167
17.72,28.133
17.746,28.363
17.773,28.584
17.8,28.524
17.826,28.425
17.853,28.571
17.88,28.76
17.906,28.338
17.933,28.542
17.96,28.494
17.986,28.569
18.013,28.637
18.04,28.72
18.067,28.703
18.093,28.615
18.12,28.741
18.147,28.834
18.173,28.685
18.2,28.862
18.227,29.102
18.253,29.76
18.28,30.412
18.307,32.26
18.333,36.379
18.36,48.609
18.387,73.718
18.414,90.379
18.44,79.355
18.467,52.998
18.494,37.979
18.52,32.418
18.547,30.523
18.574,29.781
18.6,29.338
18.627,28.805
18.654,28.947
18.681,28.713
18.707,28.621
18.734,28.376
18.761,28.517
18.787,28.137
18.814,28.253
18.841,28.11
18.868,28.034
18.894,28.167
18.921,27.886
18.948,27.964
18.974,28.087
19.001,27.865
19.028,28.041
19.055,28.053
19.081,27.648
19.108,27.863
19.135,27.968
19.162,28.056
19.188,27.998
19.215,27.728
19.242,27.748
19.268,27.907
19.295,27.737
19.322,27.708
19.349,27.768
19.375,27.584
19.402,27.947
19.429,27.896
19.456,27.637
19.482,27.796
19.509,27.999
19.536,27.707
19.563,27.783
19.589,27.63
19.616,27.412
19.643,27.75
19.67,27.499
19.696,27.575
19.723,27.678
19.75,27.594
19.777,27.61
19.803,27.667
19.83,27.525
19.857,27.564
19.884,27.641
19.91,27.405
19.937,27.541
19.964,27.576
19.991,27.506
20.017,27.512
20.044,27.459
20.071,27.31
20.098,27.537
20.124,27.492
20.151,27.305
20.178,27.336
20.205,27.108
20.231,27.455
20.258,27.558
20.285,27.686
20.312,27.522
20.339,27.367
20.365,27.178
20.392,27.542
20.419,27.679
20.446,27.771
20.472,28.298
20.499,29.071
20.526,31.335
20.553,37.631
20.58,48.251
20.606,54.731
20.633,50.511
20.66,40.325
20.687,32.751
20.714,29.547
20.74,28.155
20.767,27.6
20.794,27.454
20.821,27.143
20.848,26.742
20.874,26.824
20.901,26.855
20.928,26.716
20.955,26.7
